Foto,Latitude,Longitude,Local
2019-06-01_13-43-13_UTC.jpg,-24.31667,-46.18333,Laje de Santos
2020-03-12_22-51-29_UTC.jpg,-24.31667,-46.18333,Laje de Santos
2018-08-24_16-07-12_UTC.jpg,,,
2019-04-16_22-59-57_UTC.jpg,,,
2018-08-08_21-14-26_UTC.jpg,-3.8396,-32.4107,fernando de noronha
2019-10-01_22-32-22_UTC_3.jpg 2019-10-01_22-32-22_UTC_4.jpg 2019-10-01_22-32-22_UTC_2.jpg 2019-10-01_22-32-22_UTC_1.jpg,,,abrolhos
2020-04-11_19-27-56_UTC.jpg,-28.4498,-52.1986,maraú
2020-05-05_20-11-35_UTC.jpg,-9.08746,-35.2634,japaratinga
2020-03-16_20-08-53_UTC.jpg,-5.79068,-35.3257,são gonçalo do amarante
2019-06-10_13-13-31_UTC.jpg,-24.31667,-46.18333,Laje de Santos
2019-03-14_22-52-32_UTC_2.jpg 2019-03-14_22-52-32_UTC_1.jpg,,,
2018-11-20_23-24-28_UTC.jpg,,,
2020-01-26_20-19-41_UTC.jpg,-8.9295672959,-35.1661729188,"Praia De Peroba, Maragogi, Alagoas"
2019-10-03_13-16-58_UTC.jpg,-24.31667,-46.18333,Laje de Santos
2020-01-26_05-50-54_UTC.jpg,-24.31667,-46.18333,Laje de Santos
2019-04-02_23-44-38_UTC.jpg,,,
2020-03-03_23-10-39_UTC.jpg,,,
2018-08-31_00-05-26_UTC.jpg,,,
2019-04-24_03-25-11_UTC.jpg,-16.4038992286,-39.0451502037,Parque marinho Recife de Fora
2019-10-29_23-08-49_UTC_1.jpg 2019-10-29_23-08-49_UTC_2.jpg,,,
2020-01-15_09-04-12_UTC.jpg,-8.75665,-35.1033,tamandaré
2018-05-15_08-35-07_UTC.jpg,,,
2019-10-24_22-53-11_UTC.jpg,,,
2019-11-30_12-02-26_UTC.jpg,-7.0763381,-34.8304877,Caribessa
2018-10-19_19-14-11_UTC.jpg,,,maracajau
2018-07-12_18-36-01_UTC.jpg,,,
2019-11-19_23-30-47_UTC_2.jpg 2019-11-19_23-30-47_UTC_1.jpg 2019-11-19_23-30-47_UTC_3.jpg,,,
2020-03-01_14-05-25_UTC_1.jpg 2020-03-01_14-05-25_UTC_2.jpg 2020-03-01_14-05-25_UTC_4.jpg 2020-03-01_14-05-25_UTC_5.jpg 2020-03-01_14-05-25_UTC_3.jpg,-9.6654026223,-35.7106739359,Piscinas Naturais De Pajuçara
2019-06-27_15-05-47_UTC.jpg,,,porto de galinhas 
2019-05-21_22-57-44_UTC_1.jpg 2019-05-21_22-57-44_UTC_3.jpg 2019-05-21_22-57-44_UTC_2.jpg,,,
2018-09-03_15-08-57_UTC.jpg,,,
2019-11-19_08-53-52_UTC.jpg,-5.6942240826,-35.2039718628,Genipabu Beach
2018-09-03_15-29-33_UTC.jpg,,,
2019-11-02_02-27-00_UTC.jpg,,,abrolhos
2019-12-27_15-12-46_UTC_2.jpg 2019-12-27_15-12-46_UTC_3.jpg 2019-12-27_15-12-46_UTC_1.jpg,,,
2019-04-25_02-55-01_UTC.jpg,,,
2019-05-10_14-37-16_UTC.jpg,-9.46442,-35.55228,"Paripueira, Alagoas, Brazil"
2019-10-24_13-09-43_UTC.jpg,-8.24252,-34.9367,Praia do Paiva
2019-04-20_19-14-54_UTC.jpg,-5.8008,-35.2095,"Natal, Rio Grande do Norte"
2019-01-15_23-42-00_UTC.jpg,-3.8396,-32.4107,fernando de noronha
2020-05-04_14-59-06_UTC_1.jpg 2020-05-04_14-59-06_UTC_2.jpg,-9.08746,-35.2634,japaratinga
2019-11-07_20-20-09_UTC_2.jpg 2019-11-07_20-20-09_UTC_1.jpg,,,
2017-11-19_18-46-53_UTC.jpg,-20.6542230072,-40.4737369424,Parque Natural Municipal Morro da Pescaria
2018-08-21_20-48-19_UTC_2.jpg 2018-08-21_20-48-19_UTC_1.jpg,,,
2019-04-11_13-13-49_UTC.jpg,-16.4038992286,-39.0451502037,Parque marinho Recife de Fora
2019-03-21_10-32-57_UTC.jpg,-7.1150899999999995,-34.8641,joão pessoa
2020-02-28_02-12-26_UTC_5.jpg 2020-02-28_02-12-26_UTC_3.jpg 2020-02-28_02-12-26_UTC_1.jpg 2020-02-28_02-12-26_UTC_6.jpg 2020-02-28_02-12-26_UTC_4.jpg 2020-02-28_02-12-26_UTC_7.jpg 2020-02-28_02-12-26_UTC_2.jpg,-7.94,-34.8804,Paulista
2018-07-16_01-47-00_UTC.jpg,,,abrolhos
2019-02-19_23-06-38_UTC.jpg,,,
2019-12-05_23-17-22_UTC.jpg,,,
2018-08-06_23-57-02_UTC_1.jpg 2018-08-06_23-57-02_UTC_2.jpg,-5.2765,-35.3794,rio do fogo
2019-04-08_13-09-23_UTC.jpg,-9.46442,-35.55228,"Paripueira, Alagoas, Brazil"
2019-02-12_23-33-59_UTC.jpg,,,
2019-11-28_22-50-17_UTC_2.jpg 2019-11-28_22-50-17_UTC_1.jpg,,,
2020-03-30_20-45-08_UTC.jpg,-24.31667,-46.18333,Laje de Santos
2019-02-01_18-14-58_UTC.jpg,-24.08333,-45.7,Arquipélago de Alcatrazes
2018-07-11_18-02-00_UTC.jpg,,,
2019-04-18_00-14-31_UTC.jpg,-7.0763381,-34.8304877,Caribessa
2019-05-09_11-32-24_UTC.jpg,-8.7630169081,-35.1042623818,ICMBio Costa dos Corais
2020-05-15_09-34-45_UTC.jpg,-9.08746,-35.2634,japaratinga
2019-06-20_07-42-31_UTC.jpg,-9.08746,-35.2634,japaratinga
2019-04-17_10-36-30_UTC.jpg,-9.08746,-35.2634,japaratinga
2019-09-26_17-32-37_UTC.jpg,,,
2019-09-26_22-44-10_UTC_1.jpg 2019-09-26_22-44-10_UTC_2.jpg,,,
2019-01-21_23-49-00_UTC.jpg,-23.8441985294,-45.4045134443,Praia Do Portinho - Ilha Bella
2019-11-14_23-56-41_UTC.jpg,,,
2020-06-02_18-17-18_UTC.jpg,,,
2019-05-13_12-51-37_UTC.jpg,,,
2019-10-31_00-57-04_UTC.jpg,,,
2019-10-02_10-57-42_UTC.jpg,,,
2018-09-26_00-03-36_UTC.jpg,,,
2019-03-26_01-23-24_UTC.jpg,,,abrolhos
2019-05-29_14-03-01_UTC.jpg,,,
2019-08-21_23-42-51_UTC.jpg,-17.7374027598,-39.2633022824,Arquipélago dos Abrolhos
2020-03-06_12-49-53_UTC.jpg,-9.08746,-35.2634,japaratinga
2020-01-09_22-32-23_UTC_1.jpg 2020-01-09_22-32-23_UTC_2.jpg 2020-01-09_22-32-23_UTC_3.jpg,,,
2020-01-27_12-27-51_UTC.jpg,-8.0639,-34.87317,Projeto Conservação Recifal (PCR)
2019-11-09_11-37-21_UTC_2.jpg 2019-11-09_11-37-21_UTC_1.jpg,,,
2018-10-16_23-34-36_UTC.jpg,,,
2018-11-10_14-13-54_UTC.jpg,,,
2020-04-14_17-33-12_UTC.jpg,-24.31667,-46.18333,Laje de Santos
2015-09-30_17-03-17_UTC.jpg,,,abrolhos
2020-03-12_22-32-51_UTC_4.jpg 2020-03-12_22-32-51_UTC_2.jpg 2020-03-12_22-32-51_UTC_3.jpg 2020-03-12_22-32-51_UTC_1.jpg,,,
